"country","ISO3","model_id","estimator","status","policy_year","lag_years","breakpoint_year","pre_years","post_years","n_years","parameter","estimand","estimate","standard_error","CI95_low","CI95_high","p_value","pre_break_slope","post_break_slope","level_change","HAC_lag","AR1_rho","information_label","interpretation"
"Croatia","HRV","HRV_PRIMARY_LAG5","OLS_HAC","FITTED",1996,5,2001,13,23,36,"time","pre-break annual trend",0.281052870172287,0.0708696326201299,0.142150942639247,0.419954797705326,0.000385551721447451,0.281052870172287,0.499981735486868,-0.648727701894841,3,0.0630592451311247,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"Croatia","HRV","HRV_PRIMARY_LAG5","OLS_HAC","FITTED",1996,5,2001,13,23,36,"post","immediate level change at breakpoint",-0.648727701894841,0.544422127670712,-1.7157754645161,0.418320060726421,0.242185176778611,0.281052870172287,0.499981735486868,-0.648727701894841,3,0.0630592451311247,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"Croatia","HRV","HRV_PRIMARY_LAG5","OLS_HAC","FITTED",1996,5,2001,13,23,36,"time_after","post-break annual slope change",0.218928865314582,0.0779174301964511,0.066213508361624,0.371644222267539,0.00838706147686331,0.281052870172287,0.499981735486868,-0.648727701894841,3,0.0630592451311247,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"Croatia","HRV","HRV_PRIMARY_LAG5","OLS_HAC","FITTED",1996,5,2001,13,23,36,"time+time_after","post-break annual trend",0.499981735486868,0.0226206069256114,0.455646160604233,0.544317310369504,0.00000000000000000000599868443235975,0.281052870172287,0.499981735486868,-0.648727701894841,3,0.0630592451311247,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"Croatia","HRV","HRV_PRIMARY_LAG5_AR1","GLS_AR1_SENSITIVITY","FITTED",1996,5,2001,13,23,36,"time_after","post-break annual slope change",0.221575188985157,0.0716788733363045,0.081087178793592,0.362063199176722,0.00410959301426407,0.280374951625603,0.50195014061076,-0.669795631864735,,0.0630592451311247,"SERIAL_CORRELATION_SENSITIVITY","AR(1) GLS sensitivity; absolute ASIR slope change, not a causal effect."
"Croatia","HRV","HRV_ERA_1988_2010_LINEAR","OLS_HAC","FITTED",1996,,,,,23,"time","within-era annual ASIR trend",0.319400244166031,0.0261518360072747,0.268143587462175,0.370656900869887,0.0000000000525792049599501,,,,2,,"ERA_COMPARISON_DIAGNOSTIC_ONLY","Observed Croatia 1988-2010 within-era trend; descriptive source-era diagnostic, not an intervention effect."
"Croatia","HRV","HRV_ERA_2011_2023_LINEAR","OLS_HAC","FITTED",1996,,,,,13,"time","within-era annual ASIR trend",0.573847945617183,0.0746510188123398,0.427534637335775,0.720161253898591,0.00000952641859251401,,,,2,,"ERA_COMPARISON_DIAGNOSTIC_ONLY","Observed Croatia 2011-2023 within-era trend; descriptive source-era diagnostic, not an intervention effect."
