country,ISO3,year,sex,age_group,C73_cases,population,incidence_rate_per_100k,ASIR_WHO_per_100k,ASIR_Segi_per_100k,analysis_rate_per_100k,analysis_rate_standard,policy_year,primary_break_year,source,source_url,raw_file,raw_file_SHA256,observed_status,model_inclusion,population_status,lower_interval,upper_interval
New Zealand,NZL,2011,both,All ages (age-standardised),264,4383980,,5.1,,5.1,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.0,5.3
New Zealand,NZL,2012,both,All ages (age-standardised),277,4408050,,5.4,,5.4,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.2,5.6
New Zealand,NZL,2013,both,All ages (age-standardised),298,4442090,,5.8,,5.8,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.6,6.0
New Zealand,NZL,2014,both,All ages (age-standardised),303,4516470,,5.7,,5.7,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.5,5.9
New Zealand,NZL,2015,both,All ages (age-standardised),315,4609370,,5.8,,5.8,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.6,6.0
New Zealand,NZL,2016,both,All ages (age-standardised),357,4714120,,6.4,,6.4,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,6.1,6.6
New Zealand,NZL,2017,both,All ages (age-standardised),327,4813590,,5.7,,5.7,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.5,5.9
New Zealand,NZL,2018,both,All ages (age-standardised),306,4900620,,5.1,,5.1,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.0,5.3
New Zealand,NZL,2019,both,All ages (age-standardised),365,4970330,,6.1,,6.1,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.9,6.3
New Zealand,NZL,2020,both,All ages (age-standardised),376,5072440,,6.2,,6.2,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,6.0,6.4
New Zealand,NZL,2021,both,All ages (age-standardised),388,5084540,,6.3,,6.3,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,6.1,6.5
New Zealand,NZL,2022,both,All ages (age-standardised),359,5081730,,5.5,,5.5,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,5.3,5.7
New Zealand,NZL,2023,both,All ages (age-standardised),413,5200060,,6.5,,6.5,WHO world standard,2009,2014,Health New Zealand Cancer data web tool; New Zealand Cancer Registry,https://tewhatuora.shinyapps.io/cancer-web-tool/,public_p3a1_data/raw/HealthNZ_NZCR_Thyroid_registrations_rate.csv,0cfba5bb109e761fbfe18e8f735ad4210f7cd5597e2ef730ff48f0bdd514f806,OBSERVED,YES,OFFICIAL_POP_COUNT_FROM_SOURCE_DOWNLOAD,6.3,6.7
