country,ISO3,year,sex,registry_count,registry_scope,total_thyroid_cases,papillary_cases,follicular_cases,medullary_cases,anaplastic_cases,specified_other_cases,unspecified_cases,component_sum,reconciles_to_total,PTC_proportion_percent,FTC_proportion_percent,MTC_proportion_percent,ATC_proportion_percent,other_specified_proportion_percent,unspecified_proportion_percent,PTC_FTC_ratio,analytic_era,era_quality,fixed_break_model_eligible,primary_latency_break,denominator_status,microscopic_verification,source,source_url
Australia,AUS,1981,female,2,stable_subnational_composite,30,18,9,1,1,1,0,30,YES,60.0,30.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,0.0,2.0,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1981,male,2,stable_subnational_composite,19,12,5,0,1,1,0,19,YES,63.1578947368421,26.31578947368421,0.0,5.2631578947368425,5.2631578947368425,0.0,2.4,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1982,both,2,stable_subnational_composite,60,36,9,5,9,0,1,60,YES,60.0,15.0,8.333333333333334,15.0,0.0,1.6666666666666667,4.0,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1982,female,2,stable_subnational_composite,45,28,6,3,8,0,0,45,YES,62.22222222222222,13.333333333333334,6.666666666666667,17.77777777777778,0.0,0.0,4.666666666666667,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1982,male,2,stable_subnational_composite,15,8,3,2,1,0,1,15,YES,53.333333333333336,20.0,13.333333333333334,6.666666666666667,0.0,6.666666666666667,2.6666666666666665,1978-1982_TWO_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1983,both,5,stable_subnational_composite,335,191,72,9,15,24,24,335,YES,57.014925373134325,21.492537313432837,2.6865671641791047,4.477611940298507,7.164179104477612,7.164179104477612,2.6527777777777777,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1983,female,5,stable_subnational_composite,251,154,50,5,12,13,17,251,YES,61.354581673306775,19.9203187250996,1.9920318725099602,4.780876494023905,5.179282868525896,6.772908366533865,3.08,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1983,male,5,stable_subnational_composite,84,37,22,4,3,11,7,84,YES,44.04761904761905,26.19047619047619,4.761904761904762,3.5714285714285716,13.095238095238095,8.333333333333334,1.6818181818181819,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1984,both,5,stable_subnational_composite,329,195,81,9,12,17,15,329,YES,59.27051671732523,24.620060790273556,2.735562310030395,3.6474164133738602,5.167173252279635,4.5592705167173255,2.4074074074074074,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
Australia,AUS,1984,female,5,stable_subnational_composite,233,143,58,4,10,8,10,233,YES,61.37339055793991,24.892703862660944,1.7167381974248928,4.291845493562231,3.4334763948497855,4.291845493562231,2.4655172413793105,1983-1992_FIVE_REGISTRIES,WEAK,NO,2014,THYROID_CASE_TOTAL_ONLY_COMPOSITIONAL_NO_POPULATION_DENOMINATOR,UNAVAILABLE_IN_OPEN_CI5PLUS_DETAILED_EXPORT,IARC CI5plus Detailed official morphology export,https://ci5.iarc.who.int/ci5plus/download/
