"country","ISO3","model_id","estimator","status","policy_year","lag_years","breakpoint_year","pre_years","post_years","n_years","parameter","estimand","estimate","standard_error","CI95_low","CI95_high","p_value","pre_break_slope","post_break_slope","level_change","HAC_lag","AR1_rho","information_label","interpretation"
"New Zealand","NZL","NZL_PRIMARY_LAG5","OLS_HAC","FITTED",2009,5,2014,13,10,23,"time","pre-break annual trend",0.183516483516483,0.0124054877600289,0.159202174296174,0.207830792736793,0.00000000000702491857566298,0.183516483516483,0.043030303030303,-0.117482517482517,2,-0.170886791517975,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"New Zealand","NZL","NZL_PRIMARY_LAG5","OLS_HAC","FITTED",2009,5,2014,13,10,23,"post","immediate level change at breakpoint",-0.117482517482517,0.195955324596813,-0.501547896271127,0.266582861306093,0.555897430708069,0.183516483516483,0.043030303030303,-0.117482517482517,2,-0.170886791517975,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"New Zealand","NZL","NZL_PRIMARY_LAG5","OLS_HAC","FITTED",2009,5,2014,13,10,23,"time_after","post-break annual slope change",-0.14048618048618,0.0277915090119911,-0.194956537225703,-0.0860158237466576,0.0000703210702970448,0.183516483516483,0.043030303030303,-0.117482517482517,2,-0.170886791517975,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"New Zealand","NZL","NZL_PRIMARY_LAG5","OLS_HAC","FITTED",2009,5,2014,13,10,23,"time+time_after","post-break annual trend",0.043030303030303,0.0250064753748514,-0.00598148808469354,0.0920420941452995,0.101537895843782,0.183516483516483,0.043030303030303,-0.117482517482517,2,-0.170886791517975,"PRIMARY","Absolute change in official ASIR points per 100,000 per year; country-specific association, not a causal effect."
"New Zealand","NZL","NZL_PRIMARY_LAG5_AR1","GLS_AR1_SENSITIVITY","FITTED",2009,5,2014,13,10,23,"time_after","post-break annual slope change",-0.14383991965874,0.0472150905457843,-0.236379796655275,-0.0513000426622053,0.00664064933514482,0.181621218737795,0.0377812990790552,-0.0841444733589949,,-0.170886791517975,"SERIAL_CORRELATION_SENSITIVITY","AR(1) GLS sensitivity; absolute ASIR slope change, not a causal effect."
