country,ISO3,year,sex,C73_cases,population,analysis_rate_per_100k,age_group,incidence_rate_per_100k,ASIR_WHO_per_100k,ASIR_Segi_per_100k,analysis_rate_standard,policy_year,primary_break_year,source,source_url,raw_file,raw_file_SHA256,observed_status,model_inclusion,population_status,series_segment
Croatia,HRV,1991,male,28.0,2285276.0,1.01494769,All ages (age-standardised),1.2252349387995147,,1.01494769,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1992,both,125.0,4674684.0,2.043127495631082,All ages (age-standardised),2.6739775351660136,,2.043127495631082,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1992,female,98.0,2409585.0,2.97591967,All ages (age-standardised),4.0670903910839415,,2.97591967,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1992,male,27.0,2265099.0,0.99973566,All ages (age-standardised),1.1920008794317598,,0.99973566,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1993,both,202.0,4638896.0,3.3392868016318498,All ages (age-standardised),4.354484342826397,,3.3392868016318498,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1993,female,160.0,2393020.0,4.97205327,All ages (age-standardised),6.686112109384794,,4.97205327,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1993,male,42.0,2245876.0,1.6084303,All ages (age-standardised),1.8700943418069385,,1.6084303,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1994,both,158.0,4604915.0,2.601028009660029,All ages (age-standardised),3.431116535267209,,2.601028009660029,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,YES,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1994,female,125.0,2377299.0,3.93522069,All ages (age-standardised),5.258068084830726,,3.93522069,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
Croatia,HRV,1994,male,33.0,2227616.0,1.13912133,All ages (age-standardised),1.4814043353971242,,1.13912133,CI5 Segi/Doll world standard,1996,2001,IARC Cancer Over Time national observed C73 incidence,https://gco-api.iarc.fr/api/overtime/v2/22/,public_p25_data/iarc_cot/thyroid_incidence_02.json,bb70ec8fd7e4fcc34bd3e609b85ab42b1c61716173a50167f4299f3bd45e3e59,OBSERVED,NO,OFFICIAL_PERSON_YEARS_EMBEDDED_WITH_IARC_RECORD,HISTORICAL_IARC_1988_2017
