"model_id","status","source_definition","first_year","last_year","n_years","breakpoint_year","pre_break_slope","pre_break_slope_SE","pre_break_slope_p","level_change","level_change_SE","level_change_p","post_break_slope","post_break_slope_SE","post_break_slope_p","slope_change","slope_change_SE","slope_change_CI95_low","slope_change_CI95_high","slope_change_p","source_era_level","source_era_level_p","source_era_time_change","source_era_time_change_p","HAC_lag","ACF_lag1","Durbin_Watson","Ljung_Box_lag","Ljung_Box_p","residual_sd","estimand","splice_robustness","robustness_basis"
"C1_IARC_1988_2017","FITTED","IARC_ONLY_EXCLUDES_2018_2023_HZJZ",1988,2017,30,2001,0.281052870172287,0.0717724668851607,0.000581959231400889,-0.487149821576818,0.539548520501795,0.37487663228543,0.47375594690456,0.0265293715291402,0.000000000000000408011783746356,0.192703076732273,0.0800604367013924,0.0357875042109954,0.349618649253551,0.0234833859714835,,,,,3,0.0724353889536204,1.77354570847643,5,0.83901585302945,0.664705846851132,"Absolute ASIR slope change per 100,000/year; temporal association only","SPLICE_ROBUST","C1 and C2 retain positive slope changes; explicit source-era level/time terms do not remove the positive policy-break slope-change estimate. C3 affects precision but is an early-start, not splice, restriction."
"C2_FULL_1988_2023","FITTED","IARC_1988_2017_PLUS_HZJZ_2018_2023_SOURCE_ERA_IDENTIFIED",1988,2023,36,2001,0.281052870172287,0.0708696326201299,0.000385551721447451,-0.648727701894841,0.544422127670712,0.242185176778611,0.499981735486868,0.0226206069256114,0.00000000000000000000599868443235975,0.218928865314582,0.0779174301964511,0.066213508361624,0.371644222267539,0.00838706147686331,,,,,3,0.0486474264297633,1.69754175599874,5,0.49161843789585,0.80756818351165,"Absolute ASIR slope change per 100,000/year; temporal association only","SPLICE_ROBUST","C1 and C2 retain positive slope changes; explicit source-era level/time terms do not remove the positive policy-break slope-change estimate. C3 affects precision but is an early-start, not splice, restriction."
"C3_IARC_1990_2017","FITTED","IARC_ONLY_EARLY_START_RESTRICTION_EXCLUDES_1988_1989_AND_ALL_HZJZ",1990,2017,28,2001,0.356574074886708,0.0729435814406234,0.0000551757602510334,-0.828632692446845,0.475564377056094,0.0942372724533389,0.47375594690456,0.0266763497814355,0.000000000000002606301644898,0.117181872017852,0.0812413414576173,-0.0420482312947987,0.276411975330502,0.162116093835914,,,,,3,-0.0498130090526718,1.97245423892689,5,0.933142174599623,0.640707185218348,"Absolute ASIR slope change per 100,000/year; temporal association only","SPLICE_ROBUST","C1 and C2 retain positive slope changes; explicit source-era level/time terms do not remove the positive policy-break slope-change estimate. C3 affects precision but is an early-start, not splice, restriction."
"C4_FULL_SOURCE_ERA_LEVEL","FITTED","FULL_SERIES_PLUS_HZJZ_2018_2023_LEVEL_INDICATOR",1988,2023,36,2001,0.281052870172287,0.0720036187457056,0.000477580676652181,-0.519684069308247,0.543254578813536,0.346164155113194,0.477822727870989,0.0271819202463716,0.0000000000000000112248274283951,0.196769857698702,0.0808834417192259,0.0382412249833748,0.355298490414029,0.0209498249922926,0.439704229554319,0.419542474867057,,,3,0.0458073222391421,1.71373928709606,5,0.370669052561182,0.80116552309687,"Absolute ASIR slope change per 100,000/year; temporal association only","SPLICE_ROBUST","C1 and C2 retain positive slope changes; explicit source-era level/time terms do not remove the positive policy-break slope-change estimate. C3 affects precision but is an early-start, not splice, restriction."
"C5_FULL_SOURCE_ERA_LEVEL_TIME","FITTED","FULL_SERIES_PLUS_HZJZ_2018_2023_LEVEL_AND_TIME_INTERACTION",1988,2023,36,2001,0.281052870172287,0.073193841837224,0.000591825645505432,-0.487149821576817,0.55023368691375,0.383009103950392,0.47375594690456,0.0270547566220875,0.000000000000000026800081349305,0.192703076732273,0.0816459458014304,0.0326799634777605,0.352726189986786,0.0249623747021488,0.239270024780331,0.777254138894908,0.0988808743551673,0.738838574122779,3,0.0559950144989645,1.72913308339119,5,0.411724031706231,0.798234642928597,"Absolute ASIR slope change per 100,000/year; temporal association only","SPLICE_ROBUST","C1 and C2 retain positive slope changes; explicit source-era level/time terms do not remove the positive policy-break slope-change estimate. C3 affects precision but is an early-start, not splice, restriction."
